46 0.5571026881787724 0.0017747760864898873 0.5161884241588308 3.132735516691627 0.016867552114693096 -0.000392266411224075       0.5576109390300457 0.00177326015182508 0.5176565464921081 3.1340737096678994 0.0139229760316335 -0.002137147540736292
47 0.5571190411720758 0.0018134898693300254 0.5161116429701871 3.132734801752157 0.016865422467995963 -0.00032134366143897594       0.5576335623169199 0.0018191962236588732 0.5175910697071936 3.134081607373045 0.013908390204340804 -0.002134852359395544
48 0.5571370683294556 0.0018524753851499411 0.5160345646657379 3.1327342646597134 0.016856183842000154 -0.000249931696618387       0.5576566478901399 0.0018660709574523566 0.5175242549635728 3.134089505043109 0.013893804358923699 -0.00213255729372595
49 0.557154599293105 0.0018877990844651939 0.5159654234691915 3.1327339308869733 0.016841892950550247 -0.00018524477423526497       0.5576801947292062 0.001913882281104074 0.517456105214797 3.1340974026780946 0.013879218495383157 -0.0021302623437266053
50 0.5571754045022037 0.0019273806746945474 0.5158891648340483 3.132733720582 0.016819636379364927 -0.00011278901574753825       0.5577042018136191 0.0019626281225125683 0.5173866234144174 3.1341053002780046 0.013864632613720188 -0.002127967509396607
51 0.5572020242379052 0.001975487203368223 0.5157986817301136 3.132733673953083 0.016784668116372754 -2.4872225009416815e-05       0.5577286681228789 0.002012306409576384 0.5173158125159851 3.134113197842843 0.013850046713935773 -0.002125672790735053
52 0.5572229658620731 0.0020120455390317247 0.5157318990941728 3.132733760391911 0.01675311381409622 4.129047730343095e-05       0.5577535926364859 0.0020629150701940648 0.5172436754730515 3.1341210953726133 0.013835460796030898 -0.00212337818774104
53 0.557261787547224 0.0020784861819937227 0.5156158199941746 3.1327340919269826 0.016687465128494464 0.00015664949157876201       0.5577789743339405 0.0021144520322641546 0.5171702152391678 3.134128992867318 0.01382087486000657 -0.002121083700413666
54 0.5572767600466427 0.0021040257521261077 0.5155731136206465 3.132734245631354 0.016660211808100796 0.00019846718552216504       0.557804812194743 0.0021669152236851964 0.5170954347678852 3.1341368903269617 0.013806288905863768 -0.0021187893287520276
55 0.5572944219478211 0.002134265765089558 0.5155238910138142 3.1327344259339576 0.016626963222311136 0.00024586748210979884       0.5578311051983937 0.002220302572355734 0.5170193370127549 3.1341447877515463 0.013791702933603468 -0.0021164950727552215
56 0.5573199248711169 0.0021783916390377706 0.5154545407631512 3.132734662232181 0.016577281156104975 0.0003104913045380499       0.5578578523243932 0.002274612006174312 0.516941924927328 3.134152685141076 0.01377711694322669 -0.0021142009324223478
57 0.5573534513374039 0.0022377783049523604 0.5153652909677274 3.132734879459013 0.016510011875006045 0.0003880969384846108       0.5578850525522415 0.0023298414530394736 0.5168632014651562 3.134160582495554 0.0137625309347344 -0.002111906907752502
58 0.5573742206744378 0.0022755836539167717 0.5153104877145289 3.1327349321187015 0.01646776184659002 0.0004317990660013545       0.5579127048614391 0.0023859888408497626 0.5167831695797902 3.1341684798149836 0.013747944908127597 -0.002109612998744782
59 0.5574106893307775 0.002344189807021843 0.515214029197052 3.1327348371695725 0.016393511688963934 0.0005001470384438964       0.5579408082314863 0.0024430520975037224 0.5167018322247814 3.134176377099368 0.01373335886340727 -0.0021073192053982868
60 0.5574263211773839 0.0023745252174500677 0.5151722977912653 3.1327347102521292 0.016361921168507453 0.0005261228618903799       0.5579693616418834 0.0025010291508998973 0.516619192353681 3.1341842743487103 0.013718772800574413 -0.002105025527712114
61 0.5574549389441033 0.002431587311837476 0.5150948118452022 3.132734336315321 0.016304888118138103 0.0005684253219304633       0.5579983640721309 0.0025599179289368303 0.5165352529200405 3.1341921715630146 0.01370418671963001 -0.002102731965685362
