time,x,y,z,rx,ry,rz,rw
1422,0.002491818157231873,0.0032504194472221734,0.0010518944148645848,7.1205531816387335e-06,-0.0013157128798869356,-0.003802138057147203,-0.0002296345413444149
1423,0.0024902149435860887,0.003163653966447043,0.0010461688589548102,7.094757708103749e-06,-0.0013168217520668382,-0.003795109672200106,-0.00015597933862991902
1424,0.0025954921485807914,0.0033289381688222583,0.001037350448806984,7.0919666047553065e-06,-0.0013176836814036458,-0.0037938229799727814,-0.00012288866148393217
1425,0.0024936018858880415,0.003004336889525401,0.0010190148286703393,7.107204627154751e-06,-0.0013206557181277049,-0.0037948938448271307,-2.8050903589743736e-05
1426,0.002499970793037265,0.00294276364541312,0.000999259721572776,7.134400056063583e-06,-0.0013231976152638662,-0.0037995361126212566,2.1523636668143326e-05
1427,0.0025286137583811485,0.0029410783212166502,0.0009750042916070178,7.166198282892999e-06,-0.001325819040193907,-0.003805735270709186,5.4979994707547996e-05
1428,0.0025228731588105013,0.002868012547101763,0.0009514908180263126,7.2062910886350195e-06,-0.0013290136555954507,-0.00381379216676669,8.748891025505122e-05
1429,0.002479490933568085,0.0027277173588275416,0.0009132075526099848,7.25455315397916e-06,-0.0013330803939692595,-0.0038245610599049475,0.00010540270757367125
1430,0.002575088791791358,0.0028941063297476047,0.0008965274746218777,7.277433947461276e-06,-0.0013349113389225357,-0.003829918308471971,0.00011051881088364917
1431,0.00257339277591484,0.002856628284476123,0.000869063342534171,7.319087328427898e-06,-0.0013381222929654776,-0.003839932045824556,0.0001165900775047889
1432,0.0025675370732541336,0.0028191781599146357,0.0008338293392376461,7.363121250603122e-06,-0.0013414122150851608,-0.0038511901097101216,0.00011419923345899611
1433,0.0025808984305914495,0.002825469651947181,0.0008062709017960246,7.40283334454972e-06,-0.001344210185217911,-0.003861504646910032,0.0001104506979250564
1434,0.00257351778061482,0.002792302612923958,0.0007821226289443373,7.445716898479837e-06,-0.0013470499285092026,-0.0038727776307112436,0.00010514112027978239
1435,0.0026240026818958317,0.0028809254178853785,0.0007638867143808237,7.477555463153429e-06,-0.0013490811190976708,-0.003881348774269905,9.840366825338318e-05
1436,0.0025959797905174,0.0028162481200236303,0.0007417721977233671,7.51250611530363e-06,-0.0013519171715149366,-0.003891088379734145,8.107438516179898e-05
1437,0.0025703706183169417,0.002762027502650234,0.0007261417299488371,7.535008835102275e-06,-0.0013544354595732065,-0.003897727436522312,5.72536609813261e-05
1438,0.002665109963808643,0.002948032822286166,0.0007208069047536791,7.541760050466806e-06,-0.0013555582029654767,-0.0038998884690910137,4.323905434059277e-05
1439,0.0026791417292306163,0.002975832062439787,0.0007148232042040736,7.553862385378807e-06,-0.0013572321650461073,-0.003903673914896647,2.0337383092413605e-05
1440,0.0026056692329275988,0.002829812967360408,0.0007112547669530511,7.582686019969032e-06,-0.0013592314901282906,-0.003911996833583395,-5.918378413902881e-06
1441,0.0026708492608762957,0.0029571457672484744,0.000707540170547416,7.603379142628874e-06,-0.0013602095794796316,-0.00391782411761387,-1.82504649020381e-05
