px py pz ox oy oz ow
0.439386 -0.0900075 0.158771 0.999784 0.0190756 -0.00220443 0.00790509
0.438486 -0.0899608 0.158095 0.999786 0.0189384 -0.00310315 0.00770985
0.437646 -0.0899455 0.157458 0.999788 0.0187745 -0.00394265 0.00753131
0.436967 -0.0899419 0.15692 0.999788 0.0186385 -0.00464253 0.00738927
0.436405 -0.0899392 0.156389 0.999788 0.0185333 -0.00526366 0.00728356
0.435787 -0.0899367 0.155744 0.999786 0.0184283 -0.00606384 0.00716569
0.435297 -0.0899281 0.155149 0.999783 0.0183672 -0.00679046 0.00707755
0.434829 -0.0899228 0.154447 0.999779 0.018316 -0.00759756 0.00700701
0.434536 -0.089924 0.153725 0.999773 0.0183115 -0.00829455 0.00699638
0.434324 -0.0899256 0.152961 0.999767 0.018333 -0.00894942 0.00701818
0.434119 -0.0899394 0.152123 0.99976 0.0183608 -0.00960613 0.00706009
0.433839 -0.0899657 0.151155 0.999752 0.0183575 -0.0104275 0.00708884
0.433365 -0.0899621 0.149909 0.999737 0.0183752 -0.0117697 0.0070629
0.433006 -0.0899662 0.14895 0.999725 0.0183839 -0.0127714 0.00704877
0.432614 -0.0899746 0.147827 0.99971 0.0183982 -0.0138757 0.0070492
0.432256 -0.0899722 0.146927 0.999696 0.0184048 -0.0148551 0.00702673
0.431985 -0.0899802 0.146175 0.999684 0.0184095 -0.0156249 0.0070222
0.431846 -0.090006 0.145528 0.999676 0.0184194 -0.0160643 0.00706979
0.431858 -0.0900501 0.144981 0.999674 0.018436 -0.0161435 0.00718027
0.431911 -0.0901027 0.144473 0.999674 0.018444 -0.0161007 0.00730742
0.43189 -0.0901432 0.143972 0.999671 0.0184473 -0.0162286 0.00739256
0.43189 -0.0901788 0.143476 0.999668 0.0184646 -0.0163218 0.00748718
0.432022 -0.090248 0.142982 0.99967 0.0184798 -0.0160983 0.00765554
0.432171 -0.0903165 0.142489 0.999673 0.0185006 -0.0158338 0.00783258
0.432298 -0.0903817 0.142007 0.999674 0.0185153 -0.0156344 0.00799303
0.432442 -0.0904493 0.141521 0.999676 0.018536 -0.0154035 0.008164
0.432738 -0.0905345 0.141037 0.999682 0.0185721 -0.0148049 0.00841759
0.433045 -0.0906196 0.140523 0.999688 0.018619 -0.0141946 0.00868213
0.433003 -0.09063 0.139828 0.999683 0.0186834 -0.0143943 0.00879565
0.432726 -0.0905155 0.139198 0.99967 0.0188083 -0.0151233 0.00876658
0.432513 -0.0902873 0.138615 0.999655 0.0190699 -0.0157901 0.00874169
0.432416 -0.0899071 0.138219 0.99964 0.019502 -0.0162398 0.00872077
0.432474 -0.0894078 0.138124 0.999627 0.0200701 -0.0163435 0.00871078
0.432625 -0.0887995 0.138169 0.999614 0.020766 -0.0162798 0.00870691
0.432803 -0.0879808 0.138189 0.999595 0.0216963 -0.0162423 0.00869834
0.433007 -0.086968 0.138184 0.99957 0.0228393 -0.0162293 0.00868382
0.433192 -0.0859304 0.138167 0.999542 0.0240123 -0.0162437 0.00866352
0.433349 -0.0849115 0.138135 0.999514 0.0251594 -0.016282 0.00863777
0.433491 -0.0838184 0.138081 0.999481 0.0263877 -0.0163493 0.00860604
0.433604 -0.0827588 0.138017 0.999448 0.0275714 -0.0164362 0.00857302
0.433631 -0.0818098 0.137922 0.999417 0.0286114 -0.0165833 0.00853429
0.433575 -0.0810025 0.137784 0.999388 0.0294809 -0.0167863 0.00848795
0.433459 -0.0803 0.13762 0.999362 0.0302331 -0.0170144 0.00843548
0.433349 -0.0797583 0.137482 0.999342 0.0308121 -0.017208 0.00839484
0.433258 -0.0792738 0.137371 0.999323 0.0313238 -0.0173651 0.00836437
0.433271 -0.0788169 0.137323 0.999307 0.0318223 -0.0174273 0.00835403
0.433344 -0.0784209 0.137331 0.999293 0.0322533 -0.0174136 0.0083496
0.433416 -0.0780275 0.13735 0.999287 0.0324592 -0.0173888 0.00834708
0.433464 -0.0776797 0.137358 0.999278 0.0327209 -0.01739 0.00833369
0.433509 -0.0773316 0.137354 0.999266 0.0330985 -0.017405 0.00831698
0.433572 -0.0769753 0.137364 0.999253 0.0334983 -0.0173978 0.00830355
